Make,Model,Model Year,Incident Date,Incident Time (24:00),City,State,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Lighting,Clear,Snow,Cloudy,Fog/Smoke,Rain,Severe Wind,Injuries,Passengers Belted
Jaguar,I-Pace,2021,January 2024,12:04,Los Angeles,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight,1,0,0,0,0,0,1,0
Jaguar,I-Pace,2024,July 2024,04:58,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Dark - Lighted,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2024,July 2024,11:29,Phoenix,AZ ,Parking Lot,Dry,No Unusual Conditions,5.0,Daylight,1,0,0,0,0,0,0,1
Jaguar,I-Pace,2024,July 2024,18:16,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2024,July 2024,11:06,Austin,TX ,Street,Dry,No Unusual Conditions,40.0,Daylight,0,0,1,0,0,0,0,1
Jaguar,I-Pace,2024,July 2024,16:35,San Francisco,CA ,Street,Dry,No Unusual Conditions,20.0,Daylight,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2024,July 2024,23:59,San Francisco,CA ,Street,Dry,No Unusual Conditions,20.0,Dark - Lighted,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2024,July 2024,12:18,Los Angeles,CA ,Street,Dry,No Unusual Conditions,35.0,Daylight,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2024,July 2024,11:36,Tempe,AZ ,Parking Lot,Dry,No Unusual Conditions,15.0,Daylight,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2024,July 2024,16:13,San Francisco,CA ,Street,Dry,No Unusual Conditions,20.0,Daylight,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2024,July 2024,09:21,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight,1,0,0,0,0,0,0,0
Jaguar,I-Pace,2024,July 2024,09:45,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight,0,0,1,0,0,0,0,0
