Make,Model,Model Year,Mileage,ADS Equipped?,Incident Date,Incident Time (24:00),City,State,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Highest Injury Severity Alleged,Property Damage?,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Precrash Speed (MPH),Weather
Jaguar,I-Pace,2021.0,56344.0,Yes,JAN-2024,12:04,Los Angeles,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight,Clear, , , , , ,Unknown,Yes,Stopped,No,No,"No, see Narrative",0.0,Clear
Jaguar,I-Pace,2024.0,7345.0,Yes,JUL-2024,04:58,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Dark - Lighted,Clear, , , , , ,No Injuries Reported,Yes,Parked,No,No,No Passengers in Vehicle,0.0,Clear
Jaguar,I-Pace,2024.0,25984.0,Yes,JUL-2024,11:29,Phoenix,AZ ,Parking Lot,Dry,No Unusual Conditions,5.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Stopped,No,No,Yes,0.0,Clear
Jaguar,I-Pace,2024.0,449.0,Yes,JUL-2024,18:16,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Stopped,No,No,No Passengers in Vehicle,0.0,Clear
Jaguar,I-Pace,2024.0,4329.0,Yes,JUL-2024,11:06,Austin,TX ,Street,Dry,No Unusual Conditions,40.0,Daylight, , ,Cloudy, , , ,No Injuries Reported,Yes,Stopped,No,No,Yes,0.0,Cloudy
Jaguar,I-Pace,2024.0,9894.0,Yes,JUL-2024,16:35,San Francisco,CA ,Street,Dry,No Unusual Conditions,20.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Stopped,No,No,"No, see Narrative",0.0,Clear
Jaguar,I-Pace,2024.0,19267.0,Yes,JUL-2024,23:59,San Francisco,CA ,Street,Dry,No Unusual Conditions,20.0,Dark - Lighted,Clear, , , , , ,No Injuries Reported,Yes,Backing,No,No,No Passengers in Vehicle,2.0,Clear
Jaguar,I-Pace,2024.0,18994.0,Yes,JUL-2024,12:18,Los Angeles,CA ,Street,Dry,No Unusual Conditions,35.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Changing Lanes,No,No,No Passengers in Vehicle,1.0,Clear
Jaguar,I-Pace,2024.0,26111.0,Yes,JUL-2024,11:36,Tempe,AZ ,Parking Lot,Dry,No Unusual Conditions,15.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Parked,No,No,No Passengers in Vehicle,0.0,Clear
Jaguar,I-Pace,2024.0,1792.0,Yes,JUL-2024,16:13,San Francisco,CA ,Street,Dry,No Unusual Conditions,20.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Stopped,No,No,"No, see Narrative",0.0,Clear
Jaguar,I-Pace,2024.0,11567.0,Yes,JUL-2024,09:21,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Proceeding Straight,No,No,No Passengers in Vehicle,9.0,Clear
Jaguar,I-Pace,2024.0,11036.0,Yes,JUL-2024,09:45,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight, , ,Cloudy, , , ,No Injuries Reported,Yes,Stopped,No,No,No Passengers in Vehicle,0.0,Cloudy
Jaguar,I-Pace,2024.0,9670.0,Yes,JUL-2024,20:58,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Dark - Lighted, , ,Cloudy, , , ,No Injuries Reported,Yes,Stopped,No,No,No Passengers in Vehicle,0.0,Cloudy
Jaguar,I-Pace,2024.0,8816.0,Yes,JUL-2024,15:40,San Francisco,CA ,Street,Dry,No Unusual Conditions,30.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Stopped,No,No,Yes,0.0,Clear
Jaguar,I-Pace,2024.0,8190.0,Yes,JUL-2024,14:21,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Stopped,No,No,No Passengers in Vehicle,0.0,Clear
Jaguar,I-Pace,2024.0,11124.0,Yes,JUL-2024,16:27,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,25.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Stopped,No,No,Yes,0.0,Clear
Jaguar,I-Pace,2021.0,86073.0,Yes,JUL-2024,18:53,San Francisco,CA ,Intersection,Dry,No Unusual Conditions,25.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Proceeding Straight,No,No,Yes,0.0,Clear
Jaguar,I-Pace,2024.0,9047.0,Yes,JUL-2024,15:09,Los Angeles,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Stopped,No,No,No Passengers in Vehicle,0.0,Clear
Jaguar,I-Pace,2024.0,18992.0,Yes,JUL-2024,08:18,Phoenix,AZ ,Street,Dry,No Unusual Conditions,40.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Proceeding Straight,No,No,No Passengers in Vehicle,2.0,Clear
Toyota,Highlander,2019.0,27052.0,Yes,JUL-2024,18:43,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight, , ,Cloudy, , , ,No Injuries Reported,Yes,"Other, see Narrative",No,No,Yes,1.0,Cloudy
Jaguar,I-Pace,2021.0,135319.0,Yes,JUL-2024,16:00,Chandler,AZ ,Parking Lot,Dry,No Unusual Conditions,10.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Making Left Turn,No,No,"No, see Narrative",5.0,Clear
Jaguar,I-Pace,2021.0,91896.0,Yes,JUL-2024,20:27,Phoenix,AZ ,Parking Lot,Dry,No Unusual Conditions,5.0,Dark - Lighted,Clear, , , , , ,Minor,Yes,Parked,No,No,Yes,0.0,Clear
Toyota,Highlander,2019.0,16733.0,Yes,JUL-2024,15:25,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Stopped,No,No,Yes,0.0,Clear
Toyota,Highlander,2019.0,68476.0,Yes,JUL-2024,17:29,San Francisco,CA ,Street,Dry,No Unusual Conditions,25.0,Daylight,Clear, , , , , ,No Injuries Reported,Yes,Stopped,No,No,Yes,0.0,Clear
